Nom de la commune,Populationtotal,Population_string,Premier_chiffre
L' Abergement-Clémenciat,794,794,7
L' Abergement-de-Varey,249,249,2
Ambérieu-en-Bugey,14428,14428,1
Ambérieux-en-Dombes,1723,1723,1
Ambléon,117,117,1
Ambronay,2841,2841,2
Ambutrix,767,767,7
Andert-et-Condon,339,339,3
Anglefort,1132,1132,1
Apremont,387,387,3
Aranc,330,330,3
Arandas,148,148,1
Arbent,3459,3459,3
Arbigny,468,468,4
Arboys en Bugey,661,661,6
Argis,458,458,4
Armix,29,29,2
Ars-sur-Formans,1438,1438,1
Artemare,1255,1255,1
Arvière-en-Valromey,735,735,7
Asnières-sur-Saône,66,66,6
Attignat,3275,3275,3
Bâgé-Dommartin,4200,4200,4
Bâgé-le-Châtel,983,983,9
Balan,2741,2741,2
Baneins,611,611,6
Béard-Géovreissiat,1079,1079,1
Beaupont,697,697,6
Beauregard,880,880,8
Béligneux,3362,3362,3
Belley,9499,9499,9
Belleydoux,322,322,3
Bellignat,3859,3859,3
Bénonces,302,302,3
Bény,777,777,7
Béon,462,462,4
Béréziat,501,501,5
Bettant,769,769,7
Bey,293,293,2
Beynost,4721,4721,4
Billiat,637,637,6
Birieux,287,287,2
Biziat,885,885,8
Blyes,1032,1032,1
Bohas-Meyriat-Rignat,934,934,9
La Boisse,3267,3267,3
Boissey,342,342,3
Bolozon,90,90,9
Bouligneux,334,334,3
Bourg-en-Bresse,43306,43306,4
Bourg-Saint-Christophe,1395,1395,1
Boyeux-Saint-Jérôme,351,351,3
Boz,519,519,5
Brégnier-Cordon,852,852,8
Brénod,530,530,5
Brens,1193,1193,1
Bresse Vallons,2327,2327,2
Bressolles,931,931,9
Brion,528,528,5
Briord,1026,1026,1
Buellas,1845,1845,1
La Burbanche,78,78,7
Ceignes,267,267,2
Cerdon,797,797,7
Certines,1557,1557,1
Cessy,4972,4972,4
Ceyzériat,3218,3218,3
Ceyzérieu,1033,1033,1
Chalamont,2484,2484,2
Chaleins,1376,1376,1
Chaley,133,133,1
Challes-la-Montagne,197,197,1
Challex,1498,1498,1
Champagne-en-Valromey,851,851,8
Champdor-Corcelles,665,665,6
Champfromier,750,750,7
Chanay,639,639,6
Chaneins,925,925,9
Chanoz-Châtenay,861,861,8
La Chapelle-du-Châtelard,393,393,3
Charix,295,295,2
Charnoz-sur-Ain,940,940,9
Château-Gaillard,2187,2187,2
Châtenay,345,345,3
Châtillon-la-Palud,1652,1652,1
Châtillon-sur-Chalaronne,5060,5060,5
Chavannes-sur-Reyssouze,765,765,7
Chaveyriat,1037,1037,1
Chazey-Bons,1148,1148,1
Chazey-sur-Ain,1551,1551,1
Cheignieu-la-Balme,138,138,1
Chevillard,160,160,1
Chevroux,967,967,9
Chevry,1852,1852,1
Chézery-Forens,478,478,4
Civrieux,1736,1736,1
Cize,181,181,1
Cleyzieu,140,140,1
Coligny,1206,1206,1
Collonges,2265,2265,2
Colomieu,142,142,1
Conand,125,125,1
Condamine,448,448,4
Condeissiat,835,835,8
Confort,660,660,6
Confrançon,1365,1365,1
Contrevoz,510,510,5
Conzieu,150,150,1
Corbonod,1297,1297,1
Corlier,115,115,1
Cormoranche-sur-Saône,1175,1175,1
Cormoz,679,679,6
Corveissiat,634,634,6
Courmangoux,516,516,5
Courtes,315,315,3
Crans,270,270,2
Cressin-Rochefort,403,403,4
Crottet,1777,1777,1
Crozet,2201,2201,2
Cruzilles-lès-Mépillat,888,888,8
Culoz,3082,3082,3
Curciat-Dongalon,445,445,4
Curtafond,789,789,7
Cuzieu,463,463,4
Dagneux,4772,4772,4
Divonne-les-Bains,9878,9878,9
Dompierre-sur-Chalaronne,445,445,4
Dompierre-sur-Veyle,1187,1187,1
Domsure,489,489,4
Dortan,1890,1890,1
Douvres,1067,1067,1
Drom,221,221,2
Druillat,1178,1178,1
Échallon,777,777,7
Échenevex,2205,2205,2
Évosges,147,147,1
Faramans,818,818,8
Fareins,2246,2246,2
Farges,1049,1049,1
Feillens,3360,3360,3
Ferney-Voltaire,9928,9928,9
Flaxieu,71,71,7
Foissiat,2124,2124,2
Francheleins,1643,1643,1
Frans,2407,2407,2
Garnerans,672,672,6
Genouilleux,632,632,6
Géovreisset,917,917,9
Gex,13375,13375,1
Giron,187,187,1
Gorrevod,860,860,8
Grand-Corent,183,183,1
Grièges,1928,1928,1
Grilly,853,853,8
Groissiat,1281,1281,1
Groslée-Saint-Benoit,1229,1229,1
Guéreins,1477,1477,1
Haut Valromey,691,691,6
Hautecourt-Romanèche,797,797,7
Illiat,644,644,6
Injoux-Génissiat,1162,1162,1
Innimond,92,92,9
Izenave,160,160,1
Izernore,2309,2309,2
Izieu,242,242,2
Jassans-Riottier,6458,6458,6
Jasseron,1807,1807,1
Jayat,1194,1194,1
Journans,369,369,3
Joyeux,274,274,2
Jujurieux,2200,2200,2
Labalme,212,212,2
Lagnieu,7289,7289,7
Laiz,1251,1251,1
Lantenay,283,283,2
Lapeyrouse,328,328,3
Lavours,130,130,1
Léaz,754,754,7
Lélex,231,231,2
Lent,1439,1439,1
Lescheroux,743,743,7
Leyment,1332,1332,1
Leyssard,156,156,1
Lhuis,910,910,9
Lompnas,171,171,1
Loyettes,3176,3176,3
Lurcy,393,393,3
Magnieu,657,657,6
Maillat,648,648,6
Malafretaz,1240,1240,1
Mantenay-Montlin,320,320,3
Manziat,2012,2012,2
Marboz,2291,2291,2
Marchamp,134,134,1
Marignieu,175,175,1
Marlieux,1207,1207,1
Marsonnas,1019,1019,1
Martignat,1720,1720,1
Massieux,2650,2650,2
Massignieu-de-Rives,628,628,6
Matafelon-Granges,658,658,6
Meillonnas,1368,1368,1
Mérignat,134,134,1
Messimy-sur-Saône,1256,1256,1
Meximieux,7871,7871,7
Mézériat,2209,2209,2
Mijoux,353,353,3
Mionnay,2147,2147,2
Miribel,10075,10075,1
Misérieux,2195,2195,2
Mogneneins,801,801,8
Montagnat,2040,2040,2
Montagnieu,634,634,6
Montanges,354,354,3
Montceaux,1231,1231,1
Montcet,706,706,7
Le Montellier,305,305,3
Monthieux,669,669,6
Montluel,7048,7048,7
Montmerle-sur-Saône,3859,3859,3
Montracol,1060,1060,1
Montréal-la-Cluse,3505,3505,3
Montrevel-en-Bresse,2531,2531,2
Murs-et-Gélignieux,256,256,2
Nantua,3584,3584,3
Neuville-les-Dames,1531,1531,1
Neuville-sur-Ain,1784,1784,1
Les Neyrolles,654,654,6
Neyron,2576,2576,2
Niévroz,1646,1646,1
Nivigne et Suran,825,825,8
Nivollet-Montgriffon,121,121,1
Nurieux-Volognat,1052,1052,1
Oncieu,95,95,9
Ordonnaz,142,142,1
Ornex,4575,4575,4
Outriaz,266,266,2
Oyonnax,22943,22943,2
Ozan,692,692,6
Parcieux,1235,1235,1
Parves et Nattages,980,980,9
Péron,2673,2673,2
Péronnas,6675,6675,6
Pérouges,1228,1228,1
Perrex,845,845,8
Peyriat,161,161,1
Peyrieu,888,888,8
Peyzieux-sur-Saône,674,674,6
Pirajoux,415,415,4
Pizay,834,834,8
Plagne,134,134,1
Le Plantay,573,573,5
Plateau d'Hauteville,5031,5031,5
Le Poizat-Lalleyriat,735,735,7
Polliat,2572,2572,2
Pollieu,165,165,1
Poncin,1738,1738,1
Pont-d'Ain,2993,2993,2
Pont-de-Vaux,2303,2303,2
Pont-de-Veyle,1690,1690,1
Port,869,869,8
Pougny,826,826,8
Pouillat,88,88,8
