Nom de la commune,Populationtotal,Population_string
L' Abergement-Clémenciat,794,794
L' Abergement-de-Varey,249,249
Ambérieu-en-Bugey,14428,14428
Ambérieux-en-Dombes,1723,1723
Ambléon,117,117
Ambronay,2841,2841
Ambutrix,767,767
Andert-et-Condon,339,339
Anglefort,1132,1132
Apremont,387,387
Aranc,330,330
Arandas,148,148
Arbent,3459,3459
Arbigny,468,468
Arboys en Bugey,661,661
Argis,458,458
Armix,29,29
Ars-sur-Formans,1438,1438
Artemare,1255,1255
Arvière-en-Valromey,735,735
Asnières-sur-Saône,66,66
Attignat,3275,3275
Bâgé-Dommartin,4200,4200
Bâgé-le-Châtel,983,983
Balan,2741,2741
Baneins,611,611
Béard-Géovreissiat,1079,1079
Beaupont,697,697
Beauregard,880,880
Béligneux,3362,3362
Belley,9499,9499
Belleydoux,322,322
Bellignat,3859,3859
Bénonces,302,302
Bény,777,777
Béon,462,462
Béréziat,501,501
Bettant,769,769
Bey,293,293
Beynost,4721,4721
Billiat,637,637
Birieux,287,287
Biziat,885,885
Blyes,1032,1032
Bohas-Meyriat-Rignat,934,934
La Boisse,3267,3267
Boissey,342,342
Bolozon,90,90
Bouligneux,334,334
Bourg-en-Bresse,43306,43306
Bourg-Saint-Christophe,1395,1395
Boyeux-Saint-Jérôme,351,351
Boz,519,519
Brégnier-Cordon,852,852
Brénod,530,530
Brens,1193,1193
Bresse Vallons,2327,2327
Bressolles,931,931
Brion,528,528
Briord,1026,1026
Buellas,1845,1845
La Burbanche,78,78
Ceignes,267,267
Cerdon,797,797
Certines,1557,1557
Cessy,4972,4972
Ceyzériat,3218,3218
Ceyzérieu,1033,1033
Chalamont,2484,2484
Chaleins,1376,1376
Chaley,133,133
Challes-la-Montagne,197,197
Challex,1498,1498
Champagne-en-Valromey,851,851
Champdor-Corcelles,665,665
Champfromier,750,750
Chanay,639,639
Chaneins,925,925
Chanoz-Châtenay,861,861
La Chapelle-du-Châtelard,393,393
Charix,295,295
Charnoz-sur-Ain,940,940
Château-Gaillard,2187,2187
Châtenay,345,345
Châtillon-la-Palud,1652,1652
Châtillon-sur-Chalaronne,5060,5060
Chavannes-sur-Reyssouze,765,765
Chaveyriat,1037,1037
Chazey-Bons,1148,1148
Chazey-sur-Ain,1551,1551
Cheignieu-la-Balme,138,138
Chevillard,160,160
Chevroux,967,967
Chevry,1852,1852
Chézery-Forens,478,478
Civrieux,1736,1736
Cize,181,181
Cleyzieu,140,140
Coligny,1206,1206
Collonges,2265,2265
Colomieu,142,142
Conand,125,125
Condamine,448,448
Condeissiat,835,835
Confort,660,660
Confrançon,1365,1365
Contrevoz,510,510
Conzieu,150,150
Corbonod,1297,1297
Corlier,115,115
Cormoranche-sur-Saône,1175,1175
Cormoz,679,679
Corveissiat,634,634
Courmangoux,516,516
Courtes,315,315
Crans,270,270
Cressin-Rochefort,403,403
Crottet,1777,1777
Crozet,2201,2201
Cruzilles-lès-Mépillat,888,888
Culoz,3082,3082
Curciat-Dongalon,445,445
Curtafond,789,789
Cuzieu,463,463
Dagneux,4772,4772
Divonne-les-Bains,9878,9878
Dompierre-sur-Chalaronne,445,445
Dompierre-sur-Veyle,1187,1187
Domsure,489,489
Dortan,1890,1890
Douvres,1067,1067
Drom,221,221
